"FrequencyRank","Combination","Character","SuggestedWords","DictionaryWordCount","ReviewStatus","SourceUrl"
"1","˙ㄉㄜ","的","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%CB%99%E3%84%89%E3%84%9C&word=%E7%9A%84"
"1","ㄉㄧˊ","的","","3","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%CB%8A&word=%E7%9A%84"
"1","ㄉㄧˋ","的","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%CB%8B&word=%E7%9A%84"
"2","ㄧ","一","","19","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"3","ㄕˋ","是","","7","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%CB%8B&word=%E6%98%AF"
"4","˙ㄌㄜ","了","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%CB%99%E3%84%8C%E3%84%9C&word=%E4%BA%86"
"4","ㄌㄧㄠˇ","了","","16","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%E3%84%A0%CB%87&word=%E4%BA%86"
"5","ㄍㄜˇ","個","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%9C%CB%87&word=%E5%80%8B"
"5","ㄍㄜˋ","個","","17","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8D&SN2=%E3%84%8D%E3%84%9C%CB%8B&word=%E5%80%8B"
"6","ㄒㄧㄠˇ","小","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A0%CB%87&word=%E5%B0%8F"
"7","ㄧㄡˇ","有","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A1%CB%87&word=%E6%9C%89"
"7","ㄧㄡˋ","有","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A1%CB%8B&word=%E6%9C%89"
"8","ㄕㄨˇ","數","","6","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%CB%87&word=%E6%95%B8"
"8","ㄕㄨˋ","數","","14","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%CB%8B&word=%E6%95%B8"
"8","ㄕㄨㄛˋ","數","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%E3%84%9B%CB%8B&word=%E6%95%B8"
"8","ㄘㄨˋ","數","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%98&SN2=%E3%84%98%E3%84%A8%CB%8B&word=%E6%95%B8"
"9","ㄗㄞˋ","在","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%97&SN2=%E3%84%97%E3%84%9E%CB%8B&word=%E5%9C%A8"
"10","ㄉㄨㄛ","多","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A8%E3%84%9B&word=%E5%A4%9A"
"11","ㄨㄛˇ","我","","6","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%E3%84%9B%CB%87&word=%E6%88%91"
"12","ㄕㄤˇ","上","","2","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A4%CB%87&word=%E4%B8%8A"
"12","ㄕㄤˋ","上","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A4%CB%8B&word=%E4%B8%8A"
"13","ㄖㄣˊ","人","人口、人們、人家","19","已有可用詞","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A3%CB%8A&word=%E4%BA%BA"
"14","ㄅㄨˋ","不","","19","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A8%CB%8B&word=%E4%B8%8D"
"14","ㄈㄡˇ","不","","2","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%88&SN2=%E3%84%88%E3%84%A1%CB%87&word=%E4%B8%8D"
"15","ㄌㄞˊ","來","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%9E%CB%8A&word=%E4%BE%86"
"16","ㄕㄠˇ","少","","7","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A0%CB%87&word=%E5%B0%91"
"16","ㄕㄠˋ","少","","14","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A0%CB%8B&word=%E5%B0%91"
"17","ㄓㄜˋ","這","","11","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%9C%CB%8B&word=%E9%80%99"
"18","ㄒㄧㄚˋ","下","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%9A%CB%8B&word=%E4%B8%8B"
"19","ㄇㄧˇ","米","米飯","11","已有可用詞","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%CB%87&word=%E7%B1%B3"
"20","˙ㄉㄜ","地","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%CB%99%E3%84%89%E3%84%9C&word=%E5%9C%B0"
"20","ㄉㄧˋ","地","","19","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%CB%8B&word=%E5%9C%B0"
"21","ㄇㄧㄢˋ","面","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%E3%84%A2%CB%8B&word=%E9%9D%A2"
"22","ㄉㄚˋ","大","大豆、大象","20","已有可用詞","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%9A%CB%8B&word=%E5%A4%A7"
"22","ㄉㄞˋ","大","","2","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%9E%CB%8B&word=%E5%A4%A7"
"23","ㄈㄣ","分","","19","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%88&SN2=%E3%84%88%E3%84%A3&word=%E5%88%86"
"23","ㄈㄣˋ","分","","6","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%88&SN2=%E3%84%88%E3%84%A3%CB%8B&word=%E5%88%86"
"24","˙ㄇㄣ","們","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%CB%99%E3%84%87%E3%84%A3&word=%E5%80%91"
"24","ㄇㄣˊ","們","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A3%CB%8A&word=%E5%80%91"
"25","ㄩㄥˋ","用","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%E3%84%A5%CB%8B&word=%E7%94%A8"
"26","ㄓㄨㄥ","中","","19","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%E3%84%A5&word=%E4%B8%AD"
"26","ㄓㄨㄥˋ","中","","15","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%E3%84%A5%CB%8B&word=%E4%B8%AD"
"27","ㄔㄨ","出","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%94&SN2=%E3%84%94%E3%84%A8&word=%E5%87%BA"
"28","˙ㄏㄨㄛ","和","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%CB%99%E3%84%8F%E3%84%A8%E3%84%9B&word=%E5%92%8C"
"28","ㄏㄜˊ","和","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%9C%CB%8A&word=%E5%92%8C"
"28","ㄏㄜˋ","和","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%9C%CB%8B&word=%E5%92%8C"
"28","ㄏㄢˋ","和","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%A2%CB%8B&word=%E5%92%8C"
"28","ㄏㄨˊ","和","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%A8%CB%8A&word=%E5%92%8C"
"28","ㄏㄨㄛˋ","和","","2","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8F&SN2=%E3%84%8F%E3%84%A8%E3%84%9B%CB%8B&word=%E5%92%8C"
"29","ㄕㄨㄛ","說","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%E3%84%9B&word=%E8%AA%AA"
"29","ㄕㄨㄟˋ","說","","3","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%E3%84%9F%CB%8B&word=%E8%AA%AA"
"29","ㄩㄝˋ","說","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%E3%84%9D%CB%8B&word=%E8%AA%AA"
"30","˙ㄇㄜ","麼","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%CB%99%E3%84%87%E3%84%9C&word=%E9%BA%BC"
"30","ㄇㄚˊ","麼","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%9A%CB%8A&word=%E9%BA%BC"
"30","ㄇㄛˊ","麼","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%9B%CB%8A&word=%E9%BA%BC"
"31","˙ㄗ","子","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%97&SN2=%CB%99%E3%84%97&word=%E5%AD%90"
"31","ㄗˇ","子","","19","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%97&SN2=%E3%84%97%CB%87&word=%E5%AD%90"
"32","ㄉㄠˋ","到","","16","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A0%CB%8B&word=%E5%88%B0"
"33","ㄕˊ","時","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%CB%8A&word=%E6%99%82"
"34","˙ㄓㄜ","著","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%CB%99%E3%84%93%E3%84%9C&word=%E8%91%97"
"34","ㄓㄠ","著","","7","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A0&word=%E8%91%97"
"34","ㄓㄠˊ","著","","5","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A0%CB%8A&word=%E8%91%97"
"34","ㄓㄨˋ","著","","8","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%CB%8B&word=%E8%91%97"
"34","ㄓㄨㄛˊ","著","","10","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%93&SN2=%E3%84%93%E3%84%A8%E3%84%9B%CB%8A&word=%E8%91%97"
"35","ㄊㄧㄢ","天","天平、天地、天氣","19","已有可用詞","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A7%E3%84%A2&word=%E5%A4%A9"
"36","ㄧㄠ","要","","19","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A0&word=%E8%A6%81"
"36","ㄧㄠˋ","要","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%A0%CB%8B&word=%E8%A6%81"
"37","ㄊㄚ","他","","14","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9A&word=%E4%BB%96"
"38","ㄒㄩㄝˊ","學","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A9%E3%84%9D%CB%8A&word=%E5%AD%B8"
"39","ㄅㄚˇ","把","","14","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%87&word=%E6%8A%8A"
"39","ㄅㄚˋ","把","","1","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8B&word=%E6%8A%8A"
"41","ㄈㄤ","方","","20","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%88&SN2=%E3%84%88%E3%84%A4&word=%E6%96%B9"
"42","ㄒㄧㄤˇ","想","","12","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%92&SN2=%E3%84%92%E3%84%A7%E3%84%A4%CB%87&word=%E6%83%B3"
"43","ㄋㄧˇ","你","","8","待補充","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%CB%87&word=%E4%BD%A0"
