"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-00001","assets/gallery/generated/img-00001.png","一代","ㄧ","一","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"img-00002","assets/gallery/generated/img-00002.png","一半","ㄧ","一","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"img-00003","assets/gallery/generated/img-00003.png","一字","ㄧ","一","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"img-00004","assets/gallery/generated/img-00004.png","乙","ㄧˇ","乙","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%CB%87&word=%E4%B9%99"
"img-00005","assets/gallery/generated/img-00005.png","丁壯","ㄉㄧㄥ","丁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%E3%84%A5&word=%E4%B8%81"
"img-00006","assets/gallery/generated/img-00006.png","丁香","ㄉㄧㄥ","丁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%E3%84%A5&word=%E4%B8%81"
"img-00007","assets/gallery/generated/img-00007.png","丁憂","ㄉㄧㄥ","丁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%E3%84%A5&word=%E4%B8%81"
"img-00008","assets/gallery/generated/img-00008.png","七夕","ㄑㄧ","七","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7&word=%E4%B8%83"
"img-00009","assets/gallery/generated/img-00009.png","七色","ㄑㄧ","七","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7&word=%E4%B8%83"
"img-00010","assets/gallery/generated/img-00010.png","七律","ㄑㄧ","七","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%91&SN2=%E3%84%91%E3%84%A7&word=%E4%B8%83"
"img-00011","assets/gallery/generated/img-00011.png","乂","ㄧˋ","乂","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%CB%8B&word=%E4%B9%82"
"img-00012","assets/gallery/generated/img-00012.png","乃","ㄋㄞˇ","乃","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%9E%CB%87&word=%E4%B9%83"
"img-00013","assets/gallery/generated/img-00013.png","乃是","ㄋㄞˇ","乃","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%9E%CB%87&word=%E4%B9%83"
"img-00014","assets/gallery/generated/img-00014.png","乜","ㄇㄧㄝ","乜","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%E3%84%9D&word=%E4%B9%9C"
"img-00015","assets/gallery/generated/img-00015.png","九孔","ㄐㄧㄡˇ","九","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A1%CB%87&word=%E4%B9%9D"
"img-00016","assets/gallery/generated/img-00016.png","九泉","ㄐㄧㄡˇ","九","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A1%CB%87&word=%E4%B9%9D"
"img-00017","assets/gallery/generated/img-00017.png","九嶷山","ㄐㄧㄡˇ","九","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7%E3%84%A1%CB%87&word=%E4%B9%9D"
"img-00018","assets/gallery/generated/img-00018.png","了","˙ㄌㄜ","了","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%CB%99%E3%84%8C%E3%84%9C&word=%E4%BA%86"
"img-00019","assets/gallery/generated/img-00019.png","了了","ㄌㄧㄠˇ","了","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%E3%84%A0%CB%87&word=%E4%BA%86"
"img-00020","assets/gallery/generated/img-00020.png","二心","ㄦˋ","二","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A6&SN2=%E3%84%A6%CB%8B&word=%E4%BA%8C"
"img-00021","assets/gallery/generated/img-00021.png","二手","ㄦˋ","二","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A6&SN2=%E3%84%A6%CB%8B&word=%E4%BA%8C"
"img-00022","assets/gallery/generated/img-00022.png","二黃","ㄦˋ","二","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A6&SN2=%E3%84%A6%CB%8B&word=%E4%BA%8C"
"img-00023","assets/gallery/generated/img-00023.png","人丁","ㄖㄣˊ","人","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A3%CB%8A&word=%E4%BA%BA"
"img-00024","assets/gallery/generated/img-00024.png","人口","ㄖㄣˊ","人","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A3%CB%8A&word=%E4%BA%BA"
"img-00025","assets/gallery/generated/img-00025.png","人家","ㄖㄣˊ","人","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A3%CB%8A&word=%E4%BA%BA"
"img-00026","assets/gallery/generated/img-00026.png","入口","ㄖㄨˋ","入","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A8%CB%8B&word=%E5%85%A5"
"img-00027","assets/gallery/generated/img-00027.png","入土","ㄖㄨˋ","入","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A8%CB%8B&word=%E5%85%A5"
"img-00028","assets/gallery/generated/img-00028.png","入門","ㄖㄨˋ","入","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%96&SN2=%E3%84%96%E3%84%A8%CB%8B&word=%E5%85%A5"
"img-00029","assets/gallery/generated/img-00029.png","八方","ㄅㄚ","八","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A&word=%E5%85%AB"
"img-00030","assets/gallery/generated/img-00030.png","八仙","ㄅㄚ","八","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A&word=%E5%85%AB"
"img-00031","assets/gallery/generated/img-00031.png","八字","ㄅㄚ","八","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A&word=%E5%85%AB"
"img-00032","assets/gallery/generated/img-00032.png","几","ㄐㄧ","几","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7&word=%E5%87%A0"
"img-00033","assets/gallery/generated/img-00033.png","几凳","ㄐㄧ","几","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%90&SN2=%E3%84%90%E3%84%A7&word=%E5%87%A0"
"img-00034","assets/gallery/generated/img-00034.png","刀刃","ㄉㄠ","刀","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A0&word=%E5%88%80"
"img-00035","assets/gallery/generated/img-00035.png","刀叉","ㄉㄠ","刀","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A0&word=%E5%88%80"
"img-00036","assets/gallery/generated/img-00036.png","刀子","ㄉㄠ","刀","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A0&word=%E5%88%80"
"img-00037","assets/gallery/generated/img-00037.png","刁民","ㄉㄧㄠ","刁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%E3%84%A0&word=%E5%88%81"
"img-00038","assets/gallery/generated/img-00038.png","刁頑","ㄉㄧㄠ","刁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%E3%84%A0&word=%E5%88%81"
"img-00039","assets/gallery/generated/img-00039.png","刁難","ㄉㄧㄠ","刁","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%89&SN2=%E3%84%89%E3%84%A7%E3%84%A0&word=%E5%88%81"
"img-00040","assets/gallery/generated/img-00040.png","力士","ㄌㄧˋ","力","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%CB%8B&word=%E5%8A%9B"
"img-00041","assets/gallery/generated/img-00041.png","力行","ㄌㄧˋ","力","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%CB%8B&word=%E5%8A%9B"
"img-00042","assets/gallery/generated/img-00042.png","力拚","ㄌㄧˋ","力","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8C&SN2=%E3%84%8C%E3%84%A7%CB%8B&word=%E5%8A%9B"
"img-00043","assets/gallery/generated/img-00043.png","匕","ㄅㄧˇ","匕","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%CB%87&word=%E5%8C%95"
"img-00044","assets/gallery/generated/img-00044.png","匕首","ㄅㄧˇ","匕","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%CB%87&word=%E5%8C%95"
"img-00045","assets/gallery/generated/img-00045.png","十分","ㄕˊ","十","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%CB%8A&word=%E5%8D%81"
"img-00046","assets/gallery/generated/img-00046.png","十全","ㄕˊ","十","待產生","每個目標字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%CB%8A&word=%E5%8D%81"
