"ImageId","OutputFile","Words","Combination","Character","Status","SelectionRule","SourceUrl"
"img-00001","assets/gallery/generated/img-00001.png","午餐","ㄨˇ","午","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A8&SN2=%E3%84%A8%CB%87&word=%E5%8D%88"
"img-00002","assets/gallery/generated/img-00002.png","天氣","ㄊㄧㄢ","天","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%A7%E3%84%A2&word=%E5%A4%A9"
"img-00003","assets/gallery/generated/img-00003.png","太陽","ㄊㄞˋ","太","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8A&SN2=%E3%84%8A%E3%84%9E%CB%8B&word=%E5%A4%AA"
"img-00004","assets/gallery/generated/img-00004.png","手套","ㄕㄡˇ","手","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A1%CB%87&word=%E6%89%8B"
"img-00005","assets/gallery/generated/img-00005.png","月亮","ㄩㄝˋ","月","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A9&SN2=%E3%84%A9%E3%84%9D%CB%8B&word=%E6%9C%88"
"img-00006","assets/gallery/generated/img-00006.png","水餃","ㄕㄨㄟˇ","水","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%95&SN2=%E3%84%95%E3%84%A8%E3%84%9F%CB%87&word=%E6%B0%B4"
"img-00007","assets/gallery/generated/img-00007.png","牙齒","ㄧㄚˊ","牙","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7%E3%84%9A%CB%8A&word=%E7%89%99"
"img-00008","assets/gallery/generated/img-00008.png","牛奶","ㄋㄧㄡˊ","牛","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A1%CB%8A&word=%E7%89%9B"
"img-00009","assets/gallery/generated/img-00009.png","牛肉","ㄋㄧㄡˊ","牛","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%8B&SN2=%E3%84%8B%E3%84%A7%E3%84%A1%CB%8A&word=%E7%89%9B"
"img-00010","assets/gallery/generated/img-00010.png","皮球","ㄆㄧˊ","皮","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%86&SN2=%E3%84%86%E3%84%A7%CB%8A&word=%E7%9A%AE"
"img-00011","assets/gallery/generated/img-00011.png","冰棒","ㄅㄧㄥ","冰","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%A7%E3%84%A5&word=%E5%86%B0"
"img-00012","assets/gallery/generated/img-00012.png","吃飯","ㄔ","吃","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%94&SN2=%E3%84%94&word=%E5%90%83"
"img-00013","assets/gallery/generated/img-00013.png","米飯","ㄇㄧˇ","米","待產生","保守幼兒可視詞庫；每字最多3張","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%87&SN2=%E3%84%87%E3%84%A7%CB%87&word=%E7%B1%B3"
