"Words","Combination","Character","CharacterUrl"
"一","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一代","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一半","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一字","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一身","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一併","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一波","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一度","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一派","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一面","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一旁","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一陣","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一帶","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一朝","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一番","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一幕","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一瞥","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
"一邊","ㄧ","一","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%A7&SN2=%E3%84%A7&word=%E4%B8%80"
