"BaseSymbol","Combination","Character","SourceUrl"
"ㄅ","˙ㄅㄚ","吧","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%CB%99%E3%84%85%E3%84%9A#selectL"
"ㄅ","˙ㄅㄚ","罷","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%CB%99%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","八","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","巴","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","叭","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","扒","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","吧","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","芭","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","峇","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","疤","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","捌","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","笆","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚ","粑","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A#selectL"
"ㄅ","ㄅㄚˇ","把","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%87#selectL"
"ㄅ","ㄅㄚˇ","靶","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%87#selectL"
"ㄅ","ㄅㄚˊ","拔","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8A#selectL"
"ㄅ","ㄅㄚˊ","跋","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8A#selectL"
"ㄅ","ㄅㄚˊ","鈸","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8A#selectL"
"ㄅ","ㄅㄚˋ","伯","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8B#selectL"
"ㄅ","ㄅㄚˋ","把","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8B#selectL"
"ㄅ","ㄅㄚˋ","爸","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8B#selectL"
"ㄅ","ㄅㄚˋ","罷","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8B#selectL"
"ㄅ","ㄅㄚˋ","霸","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8B#selectL"
"ㄅ","ㄅㄚˋ","壩","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9A%CB%8B#selectL"
"ㄅ","ㄅㄛ","波","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","玻","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","剝","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","砵","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","般","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","缽","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","菠","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","撥","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛ","餑","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B#selectL"
"ㄅ","ㄅㄛˇ","跛","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%87#selectL"
"ㄅ","ㄅㄛˇ","簸","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%87#selectL"
"ㄅ","ㄅㄛˊ","百","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","伯","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","帛","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","泊","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","勃","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","柏","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","悖","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","脖","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
"ㄅ","ㄅㄛˊ","舶","https://dict.concised.moe.edu.tw/searchP.jsp?SN=%E3%84%85&SN2=%E3%84%85%E3%84%9B%CB%8A#selectL"
